,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,warp_weft,density_coefficient
257,188.0,211,1.0,,2008-0134-001-04,,90,40,m_band,6,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,"0,45",0.4,0.5,"0,45",17.0,9.0,0.45,0.45,1.89,1.89
258,188.0,211,1.0,,2008-0134-001-04,,370,40,m_band,7,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,"0,45",0.4,0.5,"0,45",17.0,9.0,0.45,0.45,1.89,1.89
259,189.0,211,1.0,0.0,2008-0134-001-05,,940,70,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.5,0.8,"0,65",0.8,1.0,"0,9",12.0,6.0,0.65,0.9,2.0,2.0
260,189.0,211,1.0,,2008-0134-001-05,,120,70,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.5,0.8,"0,65",0.8,1.0,"0,9",12.0,6.0,0.65,0.9,2.0,2.0
261,189.0,211,1.0,,2008-0134-001-05,,130,70,m_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.5,0.8,"0,65",0.8,1.0,"0,9",12.0,6.0,0.65,0.9,2.0,2.0
262,190.0,211,1.0,0.0,2008-0134-001-06,,660,350,funeral_shroud,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,"0,65",0.8,1.0,"0,9",14.0,10.0,0.65,0.9,1.4,1.4
263,190.0,211,1.0,,2008-0134-001-06,,640,290,funeral_shroud,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,"0,65",0.8,1.0,"0,9",14.0,10.0,0.65,0.9,1.4,1.4
264,191.0,211,1.0,0.0,2008-0134-001-07,,400,400,textile,0,mono,intact,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.5,0.8,"0,65",14.0,10.0,0.45,0.65,1.4,1.4
265,192.0,211,1.0,0.0,2008-0134-001-08,,480,200,f_strip,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.6,0.8,"0,7",8.0,5.0,0.5,0.7,1.6,1.6
266,192.0,211,1.0,,2008-0134-001-08,,460,180,f_strip,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.6,0.8,"0,7",8.0,5.0,0.5,0.7,1.6,1.6
267,193.0,211,1.0,0.0,2008-0134-001-09,,360,260,f_strip,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.5,0.8,"0,65",14.0,10.0,0.45,0.65,1.4,1.4
268,194.0,211,1.0,0.0,2008-0134-001-10,,190,70,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.6,0.8,"0,7",8.0,5.0,0.5,0.7,1.6,1.6
269,195.0,211,1.0,0.0,2008-0134-001-11,,400,400,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.5,0.8,"0,65",14.0,10.0,0.45,0.65,1.4,1.4
270,196.0,211,1.0,0.0,2008-0134-001-12,,680,390,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.5,0.8,"0,65",14.0,10.0,0.4,0.65,1.4,1.4
271,197.0,211,1.0,0.0,2008-0134-001-13,,350,140,f_strip,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.5,0.8,"0,65",8.0,6.0,0.5,0.65,1.33,1.33
272,197.0,211,1.0,,2008-0134-001-13,,290,90,f_strip,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.5,0.8,"0,65",8.0,6.0,0.5,0.65,1.33,1.33
273,198.0,211,1.0,0.0,2008-0134-001-14,,450,790,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.5,0.8,"0,65",14.0,10.0,0.4,0.65,1.4,1.4
274,199.0,211,1.0,0.0,2008-0134-001-15,,320,240,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.4,0.8,"0,6",8.0,5.0,0.45,0.6,1.6,1.6
275,199.0,211,1.0,,2008-0134-001-15,,320,390,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.4,0.8,"0,6",8.0,5.0,0.45,0.6,1.6,1.6
276,200.0,211,1.0,0.0,2008-0134-001-16,,130,120,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.4,0.8,"0,6",18.0,10.0,0.45,0.6,1.8,1.8
277,200.0,211,1.0,,2008-0134-001-16,,130,120,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.4,0.8,"0,6",18.0,10.0,0.45,0.6,1.8,1.8
278,201.0,211,1.0,0.0,2008-0134-001-17,,860,320,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.5,0.8,"0,65",18.0,11.0,0.45,0.65,1.64,1.64
279,202.0,211,1.0,0.0,2008-0134-001-18,,640,70,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,,0.5,0.8,"0,65",8.0,5.0,0.5,0.65,1.6,1.6
280,202.0,211,1.0,0.0,2008-0134-001-18,,620,140,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,,0.5,0.8,,8.0,5.0,0.5,0.65,1.6,1.6
281,202.0,211,1.0,0.0,2008-0134-001-18,,660,40,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,,0.5,0.8,,8.0,5.0,0.5,0.65,1.6,1.6
282,203.0,211,1.0,0.0,2008-0134-001-19,,320,440,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.3,0.6,"0,45",18.0,10.0,0.45,0.45,1.8,1.8
283,204.0,211,1.0,0.0,2008-0134-001-21,,460,260,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",14.0,12.0,0.5,0.5,1.17,1.17
284,205.0,211,1.0,0.0,2008-0134-001-22,,400,800,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.8,"0,6",0.4,0.8,"0,6",18.0,12.0,0.6,0.6,1.5,1.5
285,206.0,211,1.0,0.0,2008-0134-001-23,,400,900,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,"0,65",0.6,1.0,"0,8",14.0,10.0,0.65,0.8,1.4,1.4
286,207.0,211,1.0,0.0,2008-0134-001-27,,450,200,f_strip,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.5,0.8,"0,65",14.0,10.0,0.5,0.65,1.4,1.4
287,208.0,212,2.0,0.0,2008-0131-003-03,,120,30,n_band,0,mono,fragment,,linen,linen,no,no,S,S,uneven,uneven,,,,0.3,0.5,"0,4",0.4,0.6,"0,5",15.0,12.0,0.4,0.5,1.25,1.25
288,209.0,212,2.0,0.0,2008-0142-002,,400,400,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.6,"0,55",0.5,0.6,"0,55",13.0,8.0,0.55,0.55,1.62,1.62
289,210.0,212,2.0,0.0,2008-0142-003,,400,600,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.6,"0,55",0.5,0.6,"0,55",13.0,9.0,0.55,0.55,1.44,1.44
290,211.0,212,2.0,0.0,2008-0142-004,,700,250,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",22.0,18.0,0.5,0.4,1.22,1.22
291,212.0,212,2.0,0.0,2008-0142-005,,100,50,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",11.0,8.0,0.5,0.5,1.38,1.38
292,212.0,212,2.0,0.0,2008-0142-005,,100,10,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",11.0,8.0,0.5,0.5,1.38,1.38
293,212.0,212,2.0,0.0,2008-0142-005,,100,15,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",11.0,8.0,0.5,0.5,1.38,1.38
294,213.0,212,2.0,0.0,2008-0142-006,,220,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.8,"0,6",0.4,0.8,"0,6",8.0,6.0,0.6,0.6,1.33,1.33
295,214.0,212,2.0,0.0,2008-0142-007,,1300,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",10.0,7.0,0.5,0.5,1.43,1.43
296,215.0,212,2.0,0.0,2008-0142-008,,300,960,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",12.0,8.0,0.5,0.5,1.5,1.5
297,216.0,217,1.0,0.0,2008-0138-001-29,,55,30,fabric,1,composite,fragment,,linen,linen,no,no,S,S,medium,loose,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",20.0,12.0,0.5,0.4,1.67,1.67
298,216.0,217,1.0,,2008-0138-001-29,,25,50,fabric,2,composite,fragment,,linen,linen,no,no,S,S,medium,loose,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",20.0,12.0,0.5,0.4,1.67,1.67
299,216.0,217,1.0,,2008-0138-001-29,,35,35,fabric,3,composite,fragment,,linen,linen,no,no,S,S,medium,loose,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",20.0,12.0,0.5,0.4,1.67,1.67
300,217.0,217,0.0,1.0,2008-138-003-01,,120,100,textile,0,mono,sample,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.4,0.6,"0,5",14.0,10.0,0.4,0.5,1.4,1.4
301,218.0,217,0.0,1.0,2008-138-003-02,,200,25,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",22.0,14.0,0.5,0.4,1.57,1.57
302,218.0,217,0.0,1.0,2008-138-003-02,,180,25,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",22.0,14.0,0.5,0.4,1.57,1.57
303,219.0,217,0.0,1.0,2008-138-003-03,,220,20,n_band,1,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",28.0,14.0,0.5,0.4,2.0,2.0
